c host: c3n27
c start: Fri Oct 18 21:23:41 CEST 2019
c arrayjobid: 17567257
c jobid: 17567596
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2018A/zipcpu-zipmmu-p50.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567596.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 6517)
@     0s  (started worker 1 with pid 6518)
@     0s  (started worker 2 with pid 6519)
@     0s  (started worker 3 with pid 6520)
@     0s  (started worker 4 with pid 6521)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 6637)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 192 MB)
@     1s  (worker 5 finished with result unknown) python3 avr.py -b bin_bt_cadical -g 3 -l 0 -a sa32
@     2s  (started worker 6 with pid 6692)
@     2s  (spawned 1 workers)
@     2s  (total 6 workers using 229 MB)
@     3s  (started worker 7 with pid 6748)
@     3s  (spawned 1 workers)
@     3s  (total 7 workers using 319 MB)
@     4s  (started worker 8 with pid 6810)
@     4s  (spawned 1 workers)
@     4s  (total 8 workers using 364 MB)
@     4s  (worker 8 finished with result unknown) python3 avr.py -l 5 -g 3 -a sa8 --interpol 1 -f 1
@     5s  (started worker 9 with pid 6891)
@     5s  (spawned 1 workers)
@     5s  (total 8 workers using 406 MB)
@     5s  (worker 9 finished with result unknown) python3 avr.py -b bin_y2 -s -a sa4 --interpol 1 -f 1
@     6s  (started worker 10 with pid 6960)
@     6s  (spawned 1 workers)
@     6s  (total 8 workers using 457 MB)
@    13s  (worker 3 finished with result unknown) python3 avr.py -b bin_y2 -s
@    14s  (total 7 workers using 584 MB)
@    25s  (total 7 workers using 786 MB)
@    36s  (total 7 workers using 887 MB)
@    46s  (total 7 workers using 987 MB)
@    57s  (total 7 workers using 1057 MB)
@    68s  (total 7 workers using 1166 MB)
@    78s  (total 7 workers using 1244 MB)
@    89s  (total 7 workers using 1371 MB)
@   100s  (total 7 workers using 1445 MB)
@   110s  (total 7 workers using 1521 MB)
@   121s  (total 7 workers using 1613 MB)
@   132s  (total 7 workers using 1693 MB)
@   142s  (total 7 workers using 1757 MB)
@   153s  (total 7 workers using 1876 MB)
@   163s  (total 7 workers using 1959 MB)
@   174s  (total 7 workers using 2081 MB)
@   184s  (total 7 workers using 2121 MB)
