c host: c3n11
c start: Fri Oct 18 21:26:13 CEST 2019
c arrayjobid: 17567257
c jobid: 17567618
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019B/marlann_compute_fail2-p0.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567618.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 4500)
@     0s  (started worker 1 with pid 4501)
@     0s  (started worker 2 with pid 4502)
@     0s  (started worker 3 with pid 4503)
@     0s  (started worker 4 with pid 4504)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 4620)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 284 MB)
@     1s  (worker 5 finished with result unknown) python3 avr.py -b bin_bt_cadical -g 3 -l 0 -a sa32
@     2s  (started worker 6 with pid 4677)
@     2s  (spawned 1 workers)
@     2s  (total 6 workers using 337 MB)
@     3s  (started worker 7 with pid 4733)
@     3s  (spawned 1 workers)
@     3s  (total 7 workers using 449 MB)
@     4s  (started worker 8 with pid 4795)
@     4s  (spawned 1 workers)
@     4s  (total 8 workers using 527 MB)
@     5s  (started worker 9 with pid 4879)
@     5s  (spawned 1 workers)
@     5s  (total 9 workers using 682 MB)
@     6s  (started worker 10 with pid 4953)
@     6s  (spawned 1 workers)
@     6s  (total 10 workers using 908 MB)
@    15s  (total 10 workers using 1623 MB)
@    26s  (total 10 workers using 2090 MB)
@    38s  (total 10 workers using 2299 MB)
@    49s  (total 10 workers using 2666 MB)
@    60s  (total 10 workers using 3018 MB)
@    71s  (total 10 workers using 3438 MB)
@    82s  (total 10 workers using 3708 MB)
@    93s  (total 10 workers using 3813 MB)
@   104s  (total 10 workers using 3893 MB)
@   115s  (total 10 workers using 4178 MB)
@   126s  (total 10 workers using 4243 MB)
@   137s  (total 10 workers using 4383 MB)
@   148s  (total 10 workers using 4815 MB)
@   159s  (total 10 workers using 4879 MB)
@   169s  (total 10 workers using 5069 MB)
@   181s  (total 10 workers using 5260 MB)
@   191s  (total 10 workers using 5570 MB)
@   202s  (total 10 workers using 5508 MB)
@   213s  (total 10 workers using 5826 MB)
@   224s  (total 10 workers using 6154 MB)
@   235s  (total 10 workers using 6033 MB)
@   246s  (total 10 workers using 6138 MB)
@   257s  (total 10 workers using 6416 MB)
@   268s  (total 10 workers using 6548 MB)
