c host: c3n09
c start: Wed Oct 16 10:26:28 CEST 2019
c arrayjobid: 17562834
c jobid: 17564146
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019A/picorv32_mutCX_mem-p0.btor
c solver: ./run-btormc.sh
c solver options: 
c tmpdir: /tmp/slurm.17564146.0
sat
b0 
#0
0 1 ref_uut.trap_gold#0
1 1 ref_uut.trap_gate#0
2 0 ref_uut.mem_valid_gold#0
3 0 ref_uut.mem_valid_gate#0
4 0 ref_uut.mem_instr_gold#0
5 0 ref_uut.mem_instr_gate#0
6 00000000000000000000000000000000 ref_uut.mem_addr_gold#0
7 00000000000000000000000000000000 ref_uut.mem_addr_gate#0
8 1000 ref_uut.mem_wstrb_gold#0
9 0000 ref_uut.mem_wstrb_gate#0
10 10000000111111111000000000000101 ref_uut.mem_wdata_gold#0
11 00000100111111111111111111111111 ref_uut.mem_wdata_gate#0
13 00011001100110011001100110011011 ref_uut.reg_next_pc_gold#0
14 11 ref_uut.irq_state_gold#0
15 00011001100110011001100110011000 ref_uut.reg_out_gold#0
16 00101101111101111111001100000100 ref_uut.alu_out_q_gold#0
17 1 ref_uut.latched_stalu_gold#0
18 1 ref_uut.latched_store_gold#0
19 1 ref_uut.latched_branch_gold#0
20 0 ref_uut.compressed_instr_gold#0
21 11111111111111111111111111110111 ref_uut.reg_next_pc_gate#0
22 00 ref_uut.irq_state_gate#0
23 11111111111111111111111111110111 ref_uut.reg_out_gate#0
24 00101101111101111111001100000101 ref_uut.alu_out_q_gate#0
25 1 ref_uut.latched_stalu_gate#0
26 1 ref_uut.latched_store_gate#0
27 1 ref_uut.latched_branch_gate#0
28 0 ref_uut.compressed_instr_gate#0
29 0 ref_uut.mem_do_prefetch_gold#0
30 1 ref_uut.mem_do_rinst_gold#0
31 1 ref_uut.mem_la_secondword_gold#0
32 1 ref_uut.prefetched_high_word_gold#0
33 0 ref_uut.clear_prefetched_high_word_q_gold#0
34 0 ref_uut.mem_la_firstword_reg_gold#0
35 1 ref_uut.last_mem_valid_gold#0
36 1 ref_uut.mem_do_prefetch_gate#0
37 1 ref_uut.mem_do_rinst_gate#0
38 1 ref_uut.mem_la_secondword_gate#0
39 0 ref_uut.prefetched_high_word_gate#0
40 0 ref_uut.clear_prefetched_high_word_q_gate#0
41 0 ref_uut.mem_la_firstword_reg_gate#0
42 1 ref_uut.last_mem_valid_gate#0
43 1111 state43#0
44 00000000000000000000000001000000 ref_uut.reg_op1_gold#0
45 00 ref_uut.mem_wordsize_gold#0
46 11 ref_uut.mem_state_gold#0
47 0 ref_uut.mem_do_wdata_gold#0
48 1111 state48#0
49 00000000000000110110001100000000 ref_uut.reg_op1_gate#0
50 11 ref_uut.mem_wordsize_gate#0
51 01 ref_uut.mem_state_gate#0
52 0 ref_uut.mem_do_wdata_gate#0
53 11111110100001000001000000000011 ref_uut.mem_rdata_q_gold#0
54 1101010010011100 ref_uut.mem_16bit_buffer_gold#0
55 00100011100001001111000100000001 ref_uut.mem_rdata_q_gate#0
56 0001010010011110 ref_uut.mem_16bit_buffer_gate#0
57 00100000 ref_uut.cpu_state_gold#0
58 01000000 ref_uut.cpu_state_gate#0
59 00000000000000000000000000000000 ref_uut.timer_gold#0
60 00000000000000000000000000000101 ref_uut.timer_gate#0
61 1 ref_uut.is_alu_reg_imm_gold#0
62 1 ref_uut.is_alu_reg_imm_gate#0
63 0 ref_uut.is_alu_reg_reg_gold#0
64 0 ref_uut.is_alu_reg_reg_gate#0
65 1 ref_uut.decoder_trigger_gold#0
66 0 ref_uut.do_waitirq_gold#0
67 1 ref_uut.decoder_trigger_gate#0
68 1 ref_uut.do_waitirq_gate#0
69 0 ref_uut.irq_active_gold#0
70 1 ref_uut.irq_delay_gold#0
71 0 ref_uut.irq_active_gate#0
72 0 ref_uut.irq_delay_gate#0
73 00000000000000000000000000000000 ref_uut.irq_pending_gold#0
74 00000000000000000000000000000010 ref_uut.irq_mask_gold#0
75 01111110111111100000000000011001 ref_uut.irq_pending_gate#0
76 00000001000000011111111111111011 ref_uut.irq_mask_gate#0
77 0 ref_uut.instr_jalr_gold#0
78 0 ref_uut.instr_retirq_gold#0
79 0 ref_uut.instr_jalr_gate#0
80 0 ref_uut.instr_retirq_gate#0
81 1 ref_uut.mem_do_rdata_gold#0
82 0 ref_uut.mem_do_rdata_gate#0
83 00000000000000000000000110000001 ref_uut.reg_op2_gold#0
84 00000000000000110110001010000001 ref_uut.reg_op2_gate#0
85 0 ref_uut.instr_timer_gold#0
86 0 ref_uut.instr_waitirq_gold#0
87 0 ref_uut.instr_maskirq_gold#0
88 0 ref_uut.instr_rdinstrh_gold#0
89 0 ref_uut.instr_rdinstr_gold#0
90 0 ref_uut.instr_rdcycleh_gold#0
91 0 ref_uut.instr_rdcycle_gold#0
92 0 ref_uut.instr_and_gold#0
93 0 ref_uut.instr_or_gold#0
94 1 ref_uut.instr_sra_gold#0
95 0 ref_uut.instr_srl_gold#0
96 0 ref_uut.instr_xor_gold#0
97 1 ref_uut.instr_sltu_gold#0
98 0 ref_uut.instr_slt_gold#0
99 1 ref_uut.instr_sll_gold#0
100 1 ref_uut.instr_sub_gold#0
101 0 ref_uut.instr_add_gold#0
102 0 ref_uut.instr_srai_gold#0
103 0 ref_uut.instr_srli_gold#0
104 1 ref_uut.instr_slli_gold#0
105 0 ref_uut.instr_andi_gold#0
106 0 ref_uut.instr_ori_gold#0
107 0 ref_uut.instr_xori_gold#0
108 1 ref_uut.instr_sltiu_gold#0
109 0 ref_uut.instr_slti_gold#0
110 0 ref_uut.instr_addi_gold#0
111 0 ref_uut.instr_sw_gold#0
112 0 ref_uut.instr_sh_gold#0
113 0 ref_uut.instr_sb_gold#0
114 0 ref_uut.instr_lhu_gold#0
115 0 ref_uut.instr_lbu_gold#0
116 0 ref_uut.instr_lw_gold#0
117 0 ref_uut.instr_lh_gold#0
118 0 ref_uut.instr_lb_gold#0
119 0 ref_uut.instr_bgeu_gold#0
120 1 ref_uut.instr_bltu_gold#0
121 1 ref_uut.instr_bge_gold#0
122 0 ref_uut.instr_blt_gold#0
123 1 ref_uut.instr_bne_gold#0
124 0 ref_uut.instr_beq_gold#0
125 0 ref_uut.instr_jal_gold#0
126 0 ref_uut.instr_auipc_gold#0
127 0 ref_uut.instr_lui_gold#0
128 0 ref_uut.instr_timer_gate#0
129 0 ref_uut.instr_waitirq_gate#0
130 0 ref_uut.instr_maskirq_gate#0
131 0 ref_uut.instr_rdinstrh_gate#0
132 0 ref_uut.instr_rdinstr_gate#0
133 0 ref_uut.instr_rdcycleh_gate#0
134 0 ref_uut.instr_rdcycle_gate#0
135 0 ref_uut.instr_and_gate#0
136 0 ref_uut.instr_or_gate#0
137 1 ref_uut.instr_sra_gate#0
138 0 ref_uut.instr_srl_gate#0
139 0 ref_uut.instr_xor_gate#0
140 1 ref_uut.instr_sltu_gate#0
141 1 ref_uut.instr_slt_gate#0
142 0 ref_uut.instr_sll_gate#0
143 0 ref_uut.instr_sub_gate#0
144 0 ref_uut.instr_add_gate#0
145 0 ref_uut.instr_srai_gate#0
146 0 ref_uut.instr_srli_gate#0
147 0 ref_uut.instr_slli_gate#0
148 0 ref_uut.instr_andi_gate#0
149 0 ref_uut.instr_ori_gate#0
150 0 ref_uut.instr_xori_gate#0
151 1 ref_uut.instr_sltiu_gate#0
