c host: c3n11
c start: Fri Oct 18 18:40:56 CEST 2019
c arrayjobid: 17567256
c jobid: 17567268
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/beem/exit.5.prop1-func-interl.btor2
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567268.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 27542)
@     0s  (started worker 1 with pid 27543)
@     0s  (started worker 2 with pid 27544)
@     0s  (started worker 3 with pid 27545)
@     0s  (started worker 4 with pid 27546)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     6s  (started worker 5 with pid 27644)
@     6s  (spawned 1 workers)
@     6s  (total 6 workers using 0 MB)
@    19s  (started worker 6 with pid 27678)
@    19s  (spawned 1 workers)
@    19s  (total 7 workers using 105 MB)
@    22s  (started worker 7 with pid 27763)
@    22s  (spawned 1 workers)
@    22s  (total 8 workers using 301 MB)
@    27s  (started worker 8 with pid 27842)
@    27s  (spawned 1 workers)
@    27s  (total 9 workers using 336 MB)
@    34s  (started worker 9 with pid 27932)
@    34s  (spawned 1 workers)
@    34s  (total 10 workers using 408 MB)
@    38s  (started worker 10 with pid 28010)
@    38s  (spawned 1 workers)
@    38s  (total 11 workers using 419 MB)
@    49s  (total 11 workers using 838 MB)
@    61s  (total 11 workers using 1329 MB)
@    73s  (total 11 workers using 1504 MB)
@    84s  (total 11 workers using 1634 MB)
@    95s  (total 11 workers using 1751 MB)
@   107s  (total 11 workers using 1856 MB)
@   118s  (total 11 workers using 1969 MB)
@   129s  (total 11 workers using 2068 MB)
@   140s  (total 11 workers using 2235 MB)
@   151s  (total 11 workers using 2328 MB)
@   162s  (total 11 workers using 2534 MB)
@   173s  (total 11 workers using 2639 MB)
@   184s  (total 11 workers using 2921 MB)
@   196s  (total 11 workers using 3011 MB)
@   207s  (total 11 workers using 3181 MB)
@   218s  (total 11 workers using 3301 MB)
@   229s  (total 11 workers using 3317 MB)
@   240s  (total 11 workers using 3674 MB)
@   251s  (total 11 workers using 4434 MB)
@   262s  (total 11 workers using 4925 MB)
@   273s  (total 11 workers using 5913 MB)
@   284s  (total 11 workers using 6336 MB)
@   295s  (total 11 workers using 6765 MB)
@   307s  (total 11 workers using 7064 MB)
@   318s  (total 11 workers using 7160 MB)
@   329s  (total 11 workers using 7592 MB)
