c host: c3n06
c start: Fri Oct 18 18:40:56 CEST 2019
c arrayjobid: 17567256
c jobid: 17567263
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/beem/lamport_nonatomic.5.prop1-func-interl.btor2
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567263.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 6699)
@     0s  (started worker 1 with pid 6700)
@     0s  (started worker 2 with pid 6701)
@     0s  (started worker 3 with pid 6702)
@     0s  (started worker 4 with pid 6703)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     6s  (started worker 5 with pid 6813)
@     6s  (spawned 1 workers)
@     6s  (total 6 workers using 167 MB)
@    19s  (started worker 6 with pid 6872)
@    19s  (spawned 1 workers)
@    19s  (total 7 workers using 794 MB)
@    22s  (started worker 7 with pid 6933)
@    22s  (spawned 1 workers)
@    22s  (total 8 workers using 827 MB)
@    27s  (started worker 8 with pid 6999)
@    27s  (spawned 1 workers)
@    27s  (total 9 workers using 903 MB)
@    34s  (started worker 9 with pid 7089)
@    34s  (spawned 1 workers)
@    34s  (total 10 workers using 1429 MB)
@    37s  (started worker 10 with pid 7169)
@    37s  (spawned 1 workers)
@    37s  (total 11 workers using 1623 MB)
@    46s  (total 11 workers using 2413 MB)
@    58s  (total 11 workers using 2880 MB)
@    69s  (total 11 workers using 3255 MB)
@    81s  (total 11 workers using 3545 MB)
@    92s  (total 11 workers using 3602 MB)
@   104s  (total 11 workers using 3745 MB)
@   114s  (total 11 workers using 3884 MB)
@   126s  (total 11 workers using 3991 MB)
@   137s  (total 11 workers using 4188 MB)
@   148s  (total 11 workers using 4294 MB)
@   159s  (total 11 workers using 4438 MB)
@   170s  (total 11 workers using 4610 MB)
@   181s  (total 11 workers using 4698 MB)
@   192s  (total 11 workers using 4782 MB)
@   203s  (total 11 workers using 4833 MB)
@   214s  (total 11 workers using 4983 MB)
@   225s  (total 11 workers using 5067 MB)
@   236s  (total 11 workers using 5169 MB)
@   247s  (total 11 workers using 5293 MB)
@   258s  (total 11 workers using 5479 MB)
@   269s  (total 11 workers using 5523 MB)
@   280s  (total 11 workers using 5692 MB)
@   291s  (total 11 workers using 5939 MB)
@   303s  (total 11 workers using 6016 MB)
@   313s  (total 11 workers using 6118 MB)
@   325s  (total 11 workers using 6165 MB)
