c host: c3n02
c start: Fri Oct 18 18:40:56 CEST 2019
c arrayjobid: 17567256
c jobid: 17567259
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/beem/lann.4.prop1-back-serstep.btor2
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567259.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 8395)
@     0s  (started worker 1 with pid 8396)
@     0s  (started worker 2 with pid 8397)
@     0s  (started worker 3 with pid 8398)
@     0s  (started worker 4 with pid 8399)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 8430)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 0 MB)
@     1s  (started worker 6 with pid 8441)
@     1s  (spawned 1 workers)
@     1s  (total 7 workers using 0 MB)
@     2s  (started worker 7 with pid 8452)
@     2s  (spawned 1 workers)
@     2s  (total 8 workers using 5 MB)
@    18s  (started worker 8 with pid 8591)
@    18s  (spawned 1 workers)
@    18s  (total 9 workers using 96 MB)
@    23s  (started worker 9 with pid 8682)
@    23s  (spawned 1 workers)
@    23s  (total 10 workers using 117 MB)
@    28s  (started worker 10 with pid 8758)
@    28s  (spawned 1 workers)
@    28s  (total 11 workers using 212 MB)
@    42s  (total 11 workers using 526 MB)
@    56s  (total 11 workers using 634 MB)
@    67s  (total 11 workers using 764 MB)
@    78s  (total 11 workers using 887 MB)
@    90s  (total 11 workers using 1036 MB)
@   101s  (total 11 workers using 1160 MB)
@   112s  (total 11 workers using 1194 MB)
@   123s  (total 11 workers using 1326 MB)
@   134s  (total 11 workers using 1452 MB)
@   145s  (total 11 workers using 1528 MB)
@   156s  (total 11 workers using 1690 MB)
@   167s  (total 11 workers using 1831 MB)
@   178s  (total 11 workers using 1968 MB)
@   189s  (total 11 workers using 2113 MB)
@   200s  (total 11 workers using 2288 MB)
@   211s  (total 11 workers using 2411 MB)
@   222s  (total 11 workers using 2479 MB)
@   233s  (total 11 workers using 2629 MB)
@   244s  (total 11 workers using 2746 MB)
@   255s  (total 11 workers using 2880 MB)
@   266s  (total 11 workers using 2969 MB)
@   277s  (total 11 workers using 3065 MB)
@   288s  (total 11 workers using 3193 MB)
@   299s  (total 11 workers using 3340 MB)
@   310s  (total 11 workers using 3465 MB)
@   321s  (total 11 workers using 3629 MB)
