c host: c3n13
c start: Fri Oct 18 18:40:56 CEST 2019
c arrayjobid: 17567256
c jobid: 17567270
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/beem/leader_election.3.prop1-back-serstep.btor2
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567270.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 4994)
@     0s  (started worker 1 with pid 4995)
@     0s  (started worker 2 with pid 4996)
@     0s  (started worker 3 with pid 4997)
@     0s  (started worker 4 with pid 4998)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 5029)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 0 MB)
@     1s  (started worker 6 with pid 5037)
@     1s  (spawned 1 workers)
@     1s  (total 7 workers using 0 MB)
@    15s  (started worker 7 with pid 5125)
@    15s  (spawned 1 workers)
@    15s  (total 8 workers using 0 MB)
@    21s  (started worker 8 with pid 5193)
@    21s  (spawned 1 workers)
@    21s  (total 9 workers using 11 MB)
@    26s  (started worker 9 with pid 5307)
@    26s  (spawned 1 workers)
@    26s  (total 10 workers using 289 MB)
@    32s  (started worker 10 with pid 5385)
@    32s  (spawned 1 workers)
@    32s  (total 11 workers using 313 MB)
@    45s  (total 11 workers using 1278 MB)
@    58s  (total 11 workers using 1746 MB)
@    70s  (total 11 workers using 1902 MB)
@    82s  (total 11 workers using 1993 MB)
@    93s  (total 11 workers using 2041 MB)
@   104s  (total 11 workers using 2148 MB)
@   115s  (total 11 workers using 2206 MB)
@   126s  (total 11 workers using 2294 MB)
@   137s  (total 11 workers using 2429 MB)
@   148s  (total 11 workers using 2418 MB)
@   159s  (total 11 workers using 2537 MB)
@   171s  (total 11 workers using 2619 MB)
@   182s  (total 11 workers using 2648 MB)
@   193s  (total 11 workers using 2682 MB)
@   204s  (total 11 workers using 2743 MB)
@   215s  (total 11 workers using 2722 MB)
@   226s  (total 11 workers using 2777 MB)
@   237s  (total 11 workers using 2947 MB)
@   248s  (total 11 workers using 3012 MB)
@   259s  (total 11 workers using 3066 MB)
@   270s  (total 11 workers using 3063 MB)
@   281s  (total 11 workers using 3161 MB)
@   292s  (total 11 workers using 3298 MB)
@   303s  (total 11 workers using 3367 MB)
@   314s  (total 11 workers using 3474 MB)
@   326s  (total 11 workers using 3606 MB)
