c host: c3n29
c start: Fri Oct 18 18:40:57 CEST 2019
c arrayjobid: 17567256
c jobid: 17567286
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/goel/industry/cal228/cal228.btor2
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567286.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 31592)
@     0s  (started worker 1 with pid 31593)
@     0s  (started worker 2 with pid 31594)
@     0s  (started worker 3 with pid 31595)
@     0s  (started worker 4 with pid 31596)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 31597)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 0 MB)
@     1s  (started worker 6 with pid 31603)
@     1s  (spawned 1 workers)
@     1s  (total 7 workers using 0 MB)
@     2s  (started worker 7 with pid 31620)
@     2s  (spawned 1 workers)
@     2s  (total 8 workers using 0 MB)
@     2s  (started worker 8 with pid 31629)
@     2s  (spawned 1 workers)
@     2s  (total 9 workers using 0 MB)
@     3s  (started worker 9 with pid 31641)
@     3s  (spawned 1 workers)
@     3s  (total 10 workers using 0 MB)
@     3s  (started worker 10 with pid 31643)
@     3s  (spawned 1 workers)
@     3s  (total 11 workers using 0 MB)
@    25s  (total 11 workers using 721 MB)
@    46s  (total 11 workers using 831 MB)
@    58s  (total 11 workers using 2295 MB)
@    69s  (total 11 workers using 2613 MB)
@    80s  (total 11 workers using 2800 MB)
@    92s  (total 11 workers using 2966 MB)
@   103s  (total 11 workers using 3108 MB)
@   114s  (total 11 workers using 3142 MB)
@   125s  (total 11 workers using 3264 MB)
@   136s  (total 11 workers using 3305 MB)
@   147s  (total 11 workers using 3351 MB)
@   159s  (total 11 workers using 3357 MB)
@   170s  (total 11 workers using 3386 MB)
@   181s  (total 11 workers using 3448 MB)
@   192s  (total 11 workers using 3510 MB)
@   203s  (total 11 workers using 3511 MB)
@   214s  (total 11 workers using 3549 MB)
@   225s  (total 11 workers using 3538 MB)
@   236s  (total 11 workers using 3583 MB)
@   247s  (total 11 workers using 3616 MB)
@   258s  (total 11 workers using 3623 MB)
@   270s  (total 11 workers using 3685 MB)
@   280s  (total 11 workers using 3779 MB)
@   292s  (total 11 workers using 3842 MB)
@   303s  (total 11 workers using 3858 MB)
@   314s  (total 11 workers using 3872 MB)
@   325s  (total 11 workers using 3883 MB)
