c host: c3n10
c start: Fri Oct 18 18:42:29 CEST 2019
c arrayjobid: 17567256
c jobid: 17567339
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/goel/opensource/vcegar_arrays_itc99_b12_p2/vcegar_arrays_itc99_b12_p2.btor2
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567339.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 7240)
@     0s  (started worker 1 with pid 7241)
@     0s  (started worker 2 with pid 7242)
@     0s  (started worker 3 with pid 7243)
@     0s  (started worker 4 with pid 7244)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 7360)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 216 MB)
@     2s  (started worker 6 with pid 7414)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 319 MB)
@     3s  (started worker 7 with pid 7476)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 389 MB)
@     4s  (started worker 8 with pid 7544)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 498 MB)
@     5s  (started worker 9 with pid 7636)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 583 MB)
@     6s  (started worker 10 with pid 7716)
@     6s  (spawned 1 workers)
@     6s  (total 11 workers using 645 MB)
@    15s  (total 11 workers using 1064 MB)
@    27s  (total 11 workers using 1384 MB)
@    38s  (total 11 workers using 1693 MB)
@    49s  (total 11 workers using 1864 MB)
@    61s  (total 11 workers using 2117 MB)
@    72s  (total 11 workers using 2289 MB)
@    83s  (total 11 workers using 2524 MB)
@    94s  (total 11 workers using 2674 MB)
@   105s  (total 11 workers using 2816 MB)
@   116s  (total 11 workers using 3037 MB)
@   127s  (total 11 workers using 3160 MB)
@   138s  (total 11 workers using 3306 MB)
@   149s  (total 11 workers using 3512 MB)
@   160s  (total 11 workers using 3596 MB)
@   171s  (total 11 workers using 3763 MB)
@   182s  (total 11 workers using 3852 MB)
@   193s  (total 11 workers using 4009 MB)
@   204s  (total 11 workers using 4101 MB)
@   215s  (total 11 workers using 4299 MB)
@   226s  (total 11 workers using 4449 MB)
@   237s  (total 11 workers using 4507 MB)
@   249s  (total 11 workers using 4733 MB)
@   260s  (total 11 workers using 4905 MB)
@   271s  (total 11 workers using 5035 MB)
@   282s  (total 11 workers using 5070 MB)
