c host: c3n21
c start: Fri Oct 18 18:42:26 CEST 2019
c arrayjobid: 17567256
c jobid: 17567332
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/goel/opensource/vis_arrays_field5/vis_arrays_field5.btor2
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567332.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 24494)
@     0s  (started worker 1 with pid 24495)
@     0s  (started worker 2 with pid 24496)
@     0s  (started worker 3 with pid 24497)
@     0s  (started worker 4 with pid 24498)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 24614)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 213 MB)
@     2s  (started worker 6 with pid 24668)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 293 MB)
@     3s  (started worker 7 with pid 24730)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 362 MB)
@     4s  (started worker 8 with pid 24798)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 413 MB)
@     5s  (started worker 9 with pid 24890)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 477 MB)
@     7s  (started worker 10 with pid 24970)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 542 MB)
@    15s  (total 11 workers using 749 MB)
@    27s  (total 11 workers using 889 MB)
@    39s  (total 11 workers using 1004 MB)
@    50s  (total 11 workers using 1106 MB)
@    61s  (total 11 workers using 1183 MB)
@    72s  (total 11 workers using 1258 MB)
@    83s  (total 11 workers using 1342 MB)
@    95s  (total 11 workers using 1420 MB)
@   106s  (total 11 workers using 1500 MB)
@   117s  (total 11 workers using 1571 MB)
@   128s  (total 11 workers using 1631 MB)
@   139s  (total 11 workers using 1699 MB)
@   150s  (total 11 workers using 1771 MB)
@   161s  (total 11 workers using 1858 MB)
@   172s  (total 11 workers using 1933 MB)
@   183s  (total 11 workers using 2007 MB)
@   194s  (total 11 workers using 2089 MB)
@   205s  (total 11 workers using 2176 MB)
@   216s  (total 11 workers using 2237 MB)
@   227s  (total 11 workers using 2293 MB)
@   238s  (total 11 workers using 2348 MB)
@   249s  (total 11 workers using 2425 MB)
@   260s  (total 11 workers using 2494 MB)
@   271s  (total 11 workers using 2587 MB)
@   282s  (total 11 workers using 2649 MB)
@   293s  (total 11 workers using 2722 MB)
