c host: c3n25
c start: Fri Oct 18 18:47:28 CEST 2019
c arrayjobid: 17567256
c jobid: 17567366
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/mann/data-integrity/unsafe/arbitrated_top_n3_w8_d128_e0.btor2
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567366.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 28210)
@     0s  (started worker 1 with pid 28211)
@     0s  (started worker 2 with pid 28212)
@     0s  (started worker 3 with pid 28213)
@     0s  (started worker 4 with pid 28214)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 28330)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 330 MB)
@     2s  (started worker 6 with pid 28386)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 483 MB)
@     3s  (started worker 7 with pid 28448)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 584 MB)
@     4s  (started worker 8 with pid 28516)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 721 MB)
@     5s  (started worker 9 with pid 28608)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 861 MB)
@     6s  (started worker 10 with pid 28688)
@     6s  (spawned 1 workers)
@     6s  (total 11 workers using 1008 MB)
@    15s  (total 11 workers using 1406 MB)
@    27s  (total 11 workers using 1576 MB)
@    39s  (total 11 workers using 1677 MB)
@    50s  (total 11 workers using 1768 MB)
@    61s  (total 11 workers using 1926 MB)
@    72s  (total 11 workers using 2025 MB)
@    83s  (total 11 workers using 2136 MB)
@    94s  (total 11 workers using 2310 MB)
@   105s  (total 11 workers using 2380 MB)
@   116s  (total 11 workers using 2472 MB)
@   127s  (total 11 workers using 2537 MB)
@   139s  (total 11 workers using 2666 MB)
@   149s  (total 11 workers using 2789 MB)
@   161s  (total 11 workers using 2962 MB)
@   172s  (total 11 workers using 3106 MB)
@   183s  (total 11 workers using 3143 MB)
@   194s  (total 11 workers using 3216 MB)
@   205s  (total 11 workers using 3254 MB)
@   216s  (total 11 workers using 3316 MB)
@   227s  (total 11 workers using 3384 MB)
@   238s  (total 11 workers using 3485 MB)
@   249s  (total 11 workers using 3606 MB)
@   260s  (total 11 workers using 3719 MB)
@   271s  (total 11 workers using 3798 MB)
@   282s  (total 11 workers using 3823 MB)
