c host: c3n13
c start: Fri Oct 18 19:40:33 CEST 2019
c arrayjobid: 17567256
c jobid: 17567390
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/mann/data-integrity/unsafe/shift_register_top_w8_d64_e0.btor2
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567390.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 30413)
@     0s  (started worker 1 with pid 30414)
@     0s  (started worker 2 with pid 30415)
@     0s  (started worker 3 with pid 30416)
@     0s  (started worker 4 with pid 30417)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 30533)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 162 MB)
@     2s  (started worker 6 with pid 30589)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 235 MB)
@     3s  (started worker 7 with pid 30651)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 329 MB)
@     4s  (started worker 8 with pid 30719)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 387 MB)
@     5s  (started worker 9 with pid 30811)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 476 MB)
@     7s  (started worker 10 with pid 30892)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 573 MB)
@    15s  (total 11 workers using 878 MB)
@    27s  (total 11 workers using 1131 MB)
@    39s  (total 11 workers using 1402 MB)
@    50s  (total 11 workers using 1616 MB)
@    61s  (total 11 workers using 1799 MB)
@    73s  (total 11 workers using 1996 MB)
@    84s  (total 11 workers using 2198 MB)
@    95s  (total 11 workers using 2365 MB)
@   106s  (total 11 workers using 2463 MB)
@   117s  (total 11 workers using 2697 MB)
@   128s  (total 11 workers using 2795 MB)
@   139s  (total 11 workers using 2943 MB)
@   150s  (total 11 workers using 3197 MB)
@   162s  (total 11 workers using 3281 MB)
@   172s  (total 11 workers using 3611 MB)
@   184s  (total 11 workers using 3674 MB)
@   195s  (total 11 workers using 3766 MB)
@   206s  (total 11 workers using 3868 MB)
@   217s  (total 11 workers using 3980 MB)
@   228s  (total 11 workers using 4213 MB)
@   239s  (total 11 workers using 4244 MB)
@   250s  (total 11 workers using 4302 MB)
@   261s  (total 11 workers using 4732 MB)
@   272s  (total 11 workers using 4764 MB)
@   283s  (total 11 workers using 4824 MB)
@   295s  (total 11 workers using 4946 MB)
