c host: c3n09
c start: Fri Oct 18 19:40:44 CEST 2019
c arrayjobid: 17567256
c jobid: 17567394
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/mann/safe/analog_estimation_convergence.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567394.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 15159)
@     0s  (started worker 1 with pid 15160)
@     0s  (started worker 2 with pid 15161)
@     0s  (started worker 3 with pid 15162)
@     0s  (started worker 4 with pid 15163)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 15279)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 136 MB)
@     2s  (started worker 6 with pid 15335)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 199 MB)
@     3s  (started worker 7 with pid 15397)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 264 MB)
@     4s  (started worker 8 with pid 15465)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 347 MB)
@     5s  (started worker 9 with pid 15557)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 429 MB)
@     7s  (started worker 10 with pid 15637)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 505 MB)
@    15s  (total 11 workers using 768 MB)
@    27s  (total 11 workers using 1086 MB)
@    39s  (total 11 workers using 1321 MB)
@    44s  (worker 1 finished with result unknown) python3 avr.py -b bin_bt_cadical -s --bmc
@    50s  (total 10 workers using 1060 MB)
@    61s  (total 10 workers using 1202 MB)
@    72s  (total 10 workers using 1355 MB)
@    83s  (total 10 workers using 1443 MB)
@    94s  (total 10 workers using 1530 MB)
@   105s  (total 10 workers using 1696 MB)
@   116s  (total 10 workers using 1873 MB)
@   126s  (total 10 workers using 1941 MB)
@   138s  (total 10 workers using 2096 MB)
@   148s  (total 10 workers using 2169 MB)
@   159s  (total 10 workers using 2233 MB)
@   170s  (total 10 workers using 2331 MB)
@   181s  (total 10 workers using 2467 MB)
@   192s  (total 10 workers using 2538 MB)
@   203s  (total 10 workers using 2737 MB)
@   214s  (total 10 workers using 2806 MB)
@   225s  (total 10 workers using 2859 MB)
@   236s  (total 10 workers using 2944 MB)
@   247s  (total 10 workers using 2974 MB)
@   258s  (total 10 workers using 3108 MB)
@   269s  (total 10 workers using 3230 MB)
