c host: c3n10
c start: Fri Oct 18 19:41:46 CEST 2019
c arrayjobid: 17567256
c jobid: 17567395
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/mann/unknown/ridecore.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567395.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 374)
@     0s  (started worker 1 with pid 375)
@     0s  (started worker 2 with pid 376)
@     0s  (started worker 3 with pid 377)
@     0s  (started worker 4 with pid 378)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 465)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 229 MB)
@     2s  (started worker 6 with pid 539)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 625 MB)
@     3s  (started worker 7 with pid 616)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 1451 MB)
@     4s  (started worker 8 with pid 709)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 2247 MB)
@     5s  (started worker 9 with pid 812)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 3067 MB)
@     6s  (started worker 10 with pid 908)
@     6s  (spawned 1 workers)
@     6s  (total 11 workers using 3473 MB)
@    15s  (total 11 workers using 6690 MB)
@    27s  (total 11 workers using 9411 MB)
@    39s  (total 11 workers using 8923 MB)
@    50s  (total 11 workers using 9409 MB)
@    61s  (total 11 workers using 9512 MB)
@    72s  (total 11 workers using 9829 MB)
@    83s  (total 11 workers using 9901 MB)
@    94s  (total 11 workers using 9883 MB)
@   105s  (total 11 workers using 10182 MB)
@   117s  (total 11 workers using 10319 MB)
@   128s  (total 11 workers using 10355 MB)
@   139s  (total 11 workers using 10401 MB)
@   150s  (total 11 workers using 10441 MB)
@   161s  (total 11 workers using 10624 MB)
@   172s  (total 11 workers using 10668 MB)
@   183s  (total 11 workers using 10735 MB)
@   194s  (total 11 workers using 10803 MB)
@   205s  (total 11 workers using 10895 MB)
@   216s  (total 11 workers using 10926 MB)
@   227s  (total 11 workers using 10989 MB)
@   238s  (total 11 workers using 10979 MB)
@   249s  (total 11 workers using 11021 MB)
@   260s  (total 11 workers using 11040 MB)
@   271s  (total 11 workers using 11154 MB)
@   282s  (total 11 workers using 11209 MB)
@   293s  (total 11 workers using 11227 MB)
@   304s  (total 11 workers using 11243 MB)
