c host: c3n26
c start: Fri Oct 18 19:42:04 CEST 2019
c arrayjobid: 17567256
c jobid: 17567397
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2018A/zipcpu-busdelay-p24.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567397.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 10567)
@     0s  (started worker 1 with pid 10568)
@     0s  (started worker 2 with pid 10569)
@     0s  (started worker 3 with pid 10570)
@     0s  (started worker 4 with pid 10571)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 10687)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 169 MB)
@     2s  (started worker 6 with pid 10741)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 248 MB)
@     3s  (started worker 7 with pid 10803)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 334 MB)
@     4s  (started worker 8 with pid 10871)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 399 MB)
@     5s  (started worker 9 with pid 10964)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 498 MB)
@     6s  (started worker 10 with pid 11044)
@     6s  (spawned 1 workers)
@     6s  (total 11 workers using 601 MB)
@    15s  (total 11 workers using 975 MB)
@    27s  (total 11 workers using 1287 MB)
@    38s  (total 11 workers using 1569 MB)
@    49s  (total 11 workers using 1920 MB)
@    61s  (total 11 workers using 2139 MB)
@    72s  (total 11 workers using 2414 MB)
@    83s  (total 11 workers using 2704 MB)
@    94s  (total 11 workers using 2978 MB)
@   105s  (total 11 workers using 3218 MB)
@   116s  (total 11 workers using 3481 MB)
@   127s  (total 11 workers using 3659 MB)
@   138s  (total 11 workers using 3950 MB)
@   149s  (total 11 workers using 4221 MB)
@   160s  (total 11 workers using 4492 MB)
@   171s  (total 11 workers using 4651 MB)
@   182s  (total 11 workers using 4812 MB)
@   193s  (total 11 workers using 4983 MB)
@   204s  (total 11 workers using 5214 MB)
@   215s  (total 11 workers using 5426 MB)
@   226s  (total 11 workers using 5673 MB)
@   237s  (total 11 workers using 5788 MB)
@   248s  (total 11 workers using 6011 MB)
@   259s  (total 11 workers using 6204 MB)
@   270s  (total 11 workers using 6403 MB)
@   281s  (total 11 workers using 6697 MB)
@   292s  (total 11 workers using 6857 MB)
