c host: c3n32
c start: Fri Oct 18 19:42:41 CEST 2019
c arrayjobid: 17567256
c jobid: 17567406
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2018D/VexRiscv-regch0-20-p0.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567406.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 4194)
@     0s  (started worker 1 with pid 4195)
@     0s  (started worker 2 with pid 4196)
@     0s  (started worker 3 with pid 4197)
@     0s  (started worker 4 with pid 4198)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 4314)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 297 MB)
@     2s  (started worker 6 with pid 4368)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 497 MB)
@     3s  (started worker 7 with pid 4430)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 577 MB)
@     4s  (started worker 8 with pid 4498)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 718 MB)
@     5s  (started worker 9 with pid 4590)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 802 MB)
@     6s  (started worker 10 with pid 4670)
@     6s  (spawned 1 workers)
@     6s  (total 11 workers using 965 MB)
@    15s  (total 11 workers using 1589 MB)
@    27s  (total 11 workers using 1827 MB)
@    38s  (total 11 workers using 2288 MB)
@    50s  (total 11 workers using 2643 MB)
@    61s  (total 11 workers using 2926 MB)
@    72s  (total 11 workers using 3109 MB)
@    83s  (total 11 workers using 3394 MB)
@    94s  (total 11 workers using 3495 MB)
@   105s  (total 11 workers using 3611 MB)
@   116s  (total 11 workers using 3718 MB)
@   127s  (total 11 workers using 3789 MB)
@   139s  (total 11 workers using 3884 MB)
@   149s  (total 11 workers using 4976 MB)
@   161s  (total 11 workers using 5368 MB)
@   172s  (total 11 workers using 6317 MB)
@   183s  (total 11 workers using 6714 MB)
@   194s  (total 11 workers using 7069 MB)
@   205s  (total 11 workers using 7321 MB)
@   216s  (total 11 workers using 8160 MB)
@   227s  (total 11 workers using 8610 MB)
@   238s  (total 11 workers using 8884 MB)
@   249s  (total 11 workers using 9226 MB)
@   260s  (total 11 workers using 8935 MB)
@   272s  (total 11 workers using 9968 MB)
@   282s  (total 11 workers using 10056 MB)
@   294s  (total 11 workers using 10337 MB)
