c host: c3n08
c start: Fri Oct 18 19:43:01 CEST 2019
c arrayjobid: 17567256
c jobid: 17567412
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2018D/picorv32-pcregs-p2.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567412.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 899)
@     0s  (started worker 1 with pid 900)
@     0s  (started worker 2 with pid 901)
@     0s  (started worker 3 with pid 902)
@     0s  (started worker 4 with pid 903)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 1021)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 298 MB)
@     2s  (started worker 6 with pid 1077)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 468 MB)
@     3s  (started worker 7 with pid 1141)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 557 MB)
@     4s  (started worker 8 with pid 1207)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 645 MB)
@     5s  (started worker 9 with pid 1300)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 692 MB)
@     7s  (started worker 10 with pid 1383)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 796 MB)
@    15s  (total 11 workers using 1269 MB)
@    27s  (total 11 workers using 1450 MB)
@    39s  (total 11 workers using 1736 MB)
@    50s  (total 11 workers using 1912 MB)
@    61s  (total 11 workers using 2132 MB)
@    72s  (total 11 workers using 2327 MB)
@    83s  (total 11 workers using 2424 MB)
@    95s  (total 11 workers using 2498 MB)
@   105s  (total 11 workers using 2687 MB)
@   117s  (total 11 workers using 2801 MB)
@   128s  (total 11 workers using 2932 MB)
@   139s  (total 11 workers using 3046 MB)
@   150s  (total 11 workers using 3302 MB)
@   161s  (total 11 workers using 3300 MB)
@   172s  (total 11 workers using 3384 MB)
@   183s  (total 11 workers using 3492 MB)
@   194s  (total 11 workers using 3553 MB)
@   206s  (total 11 workers using 3587 MB)
@   217s  (total 11 workers using 3612 MB)
@   228s  (total 11 workers using 3813 MB)
@   239s  (total 11 workers using 3886 MB)
@   250s  (total 11 workers using 3926 MB)
@   261s  (total 11 workers using 4080 MB)
@   272s  (total 11 workers using 4147 MB)
@   283s  (total 11 workers using 4157 MB)
@   294s  (total 11 workers using 4293 MB)
