c host: c3n31
c start: Fri Oct 18 19:59:44 CEST 2019
c arrayjobid: 17567256
c jobid: 17567456
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019A/picorv32_mutCX_nomem-p3.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567456.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 7018)
@     0s  (started worker 1 with pid 7019)
@     0s  (started worker 2 with pid 7020)
@     0s  (started worker 3 with pid 7021)
@     0s  (started worker 4 with pid 7022)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 7138)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 522 MB)
@     2s  (started worker 6 with pid 7194)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 806 MB)
@     3s  (started worker 7 with pid 7256)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 1149 MB)
@     4s  (started worker 8 with pid 7324)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 1366 MB)
@     5s  (started worker 9 with pid 7416)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 1549 MB)
@     7s  (started worker 10 with pid 7496)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 1785 MB)
@    15s  (total 11 workers using 2285 MB)
@    27s  (total 11 workers using 2499 MB)
@    39s  (total 11 workers using 2604 MB)
@    50s  (total 11 workers using 2645 MB)
@    61s  (total 11 workers using 2715 MB)
@    73s  (total 11 workers using 2740 MB)
@    84s  (total 11 workers using 2825 MB)
@    95s  (total 11 workers using 2917 MB)
@   106s  (total 11 workers using 2966 MB)
@   117s  (total 11 workers using 3011 MB)
@   128s  (total 11 workers using 3056 MB)
@   139s  (total 11 workers using 3088 MB)
@   150s  (total 11 workers using 3141 MB)
@   161s  (total 11 workers using 3173 MB)
@   172s  (total 11 workers using 3212 MB)
@   184s  (total 11 workers using 3290 MB)
@   195s  (total 11 workers using 3473 MB)
@   206s  (total 11 workers using 3568 MB)
@   217s  (total 11 workers using 3607 MB)
@   228s  (total 11 workers using 3654 MB)
@   239s  (total 11 workers using 3669 MB)
@   250s  (total 11 workers using 3800 MB)
@   261s  (total 11 workers using 3916 MB)
@   272s  (total 11 workers using 3996 MB)
@   283s  (total 11 workers using 4052 MB)
@   294s  (total 11 workers using 4079 MB)
