c host: c3n24
c start: Fri Oct 18 20:15:38 CEST 2019
c arrayjobid: 17567256
c jobid: 17567461
c benchmark: /home/mathias/hwmcc19/benchmarks-single/btor2/wolf/2019B/marlann_compute_cp_fail1-p2.btor
c solver: ./run-avr.sh
c solver options: 
c tmpdir: /tmp/slurm.17567461.0
AVR -- Proof Race 
copyright (c) 2019  Aman Goel and Karem Sakallah, University of Michigan
@     0s  (starting avr proof race)
@     0s  (output dir: /tmp//pr_test)
@     0s  (max 11 workers)
@     0s  (started worker 0 with pid 14424)
@     0s  (started worker 1 with pid 14425)
@     0s  (started worker 2 with pid 14426)
@     0s  (started worker 3 with pid 14427)
@     0s  (started worker 4 with pid 14428)
@     0s  (spawned 5 workers)
@     0s  (total 5 workers using 0 MB)
@     1s  (started worker 5 with pid 14544)
@     1s  (spawned 1 workers)
@     1s  (total 6 workers using 241 MB)
@     2s  (started worker 6 with pid 14598)
@     2s  (spawned 1 workers)
@     2s  (total 7 workers using 385 MB)
@     3s  (started worker 7 with pid 14660)
@     3s  (spawned 1 workers)
@     3s  (total 8 workers using 516 MB)
@     4s  (started worker 8 with pid 14728)
@     4s  (spawned 1 workers)
@     4s  (total 9 workers using 618 MB)
@     5s  (started worker 9 with pid 14820)
@     5s  (spawned 1 workers)
@     5s  (total 10 workers using 751 MB)
@     7s  (started worker 10 with pid 14900)
@     7s  (spawned 1 workers)
@     7s  (total 11 workers using 922 MB)
@    15s  (total 11 workers using 1537 MB)
@    27s  (total 11 workers using 2062 MB)
@    39s  (total 11 workers using 2540 MB)
@    50s  (total 11 workers using 2936 MB)
@    61s  (total 11 workers using 3363 MB)
@    73s  (total 11 workers using 3670 MB)
@    84s  (total 11 workers using 3908 MB)
@    95s  (total 11 workers using 4293 MB)
@   106s  (total 11 workers using 4566 MB)
@   117s  (total 11 workers using 4945 MB)
@   128s  (total 11 workers using 5071 MB)
@   139s  (total 11 workers using 5246 MB)
@   150s  (total 11 workers using 5490 MB)
@   161s  (total 11 workers using 5700 MB)
@   172s  (total 11 workers using 6007 MB)
@   183s  (total 11 workers using 6433 MB)
@   194s  (total 11 workers using 6472 MB)
@   205s  (total 11 workers using 6717 MB)
@   216s  (total 11 workers using 6860 MB)
@   228s  (total 11 workers using 7012 MB)
@   238s  (total 11 workers using 7186 MB)
@   250s  (total 11 workers using 7337 MB)
@   261s  (total 11 workers using 7534 MB)
@   272s  (total 11 workers using 7734 MB)
@   283s  (total 11 workers using 7899 MB)
@   294s  (total 11 workers using 8291 MB)
